Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,Ball-Version,Ball-Shear,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
40,75,40,250,35,160,5,1,47.87,76,89,13
40,75,40,250,35,160,5,1,52.03,74,89,12
40,75,40,250,35,160,5,1,50.7,70,74,11
40,75,40,250,35,160,5,0,47.73,76,82,12
40,75,40,250,35,160,5,0,48.52,78,90,11
40,75,40,250,35,160,5,0,40.07,76,87,13
40,75,40,250,35,160,5,0,42.36,76,90,13
40,75,40,250,35,160,5,0,41.17,78,89,12
40,75,40,250,35,160,5,0,45.68,76,91,11
40,75,40,250,35,160,5,0,49.48,78,90,10
40,75,40,250,35,160,5,0,49.99,74,87,13
40,75,40,250,35,160,5,0,51.63,76,94,12
40,75,40,250,35,160,5,0,36.59,76,84,11
40,75,40,250,35,160,15,1,44.09,76,95,12
40,75,40,250,35,160,15,1,42.26,76,82,13
40,75,40,250,35,160,15,1,49.75,76,94,12
40,75,40,250,35,160,15,1,48.67,72,82,12
40,75,40,250,35,160,15,1,45.64,80,100,11
40,75,40,250,35,160,15,1,49.27,78,96,12
40,75,40,250,35,160,15,1,45.4,74,87,10
40,75,40,250,35,160,15,1,50.03,76,84,13
40,75,40,250,35,160,15,1,45.06,78,95,13
40,75,40,250,35,160,15,1,46.63,74,89,13
40,75,40,250,35,160,15,0,40.04,74,90,12
40,75,40,250,35,160,15,0,52.07,76,84,12
40,75,40,250,35,160,15,0,49.08,76,89,12
40,75,40,250,35,160,15,0,50.36,76,82,12
40,75,40,250,35,160,15,0,43.89,78,88,11
40,75,40,250,35,160,15,0,41.82,76,87,12
40,75,40,250,35,160,15,0,53.05,76,88,11
40,75,40,250,35,160,15,0,45.16,74,81,12
40,75,40,250,35,160,15,0,42.64,74,80,13
40,75,40,250,35,160,15,0,37.17,76,83,13
40,75,40,250,35,160,25,1,46.65,78,100,11
40,75,40,250,35,160,25,1,47.13,72,77,14
40,75,40,250,35,160,25,1,43.15,76,89,12
40,75,40,250,35,160,25,1,39.86,76,86,13
40,75,40,250,35,160,25,1,49.26,70,75,13
40,75,40,250,35,160,25,1,42.76,72,77,12
40,75,40,250,35,160,25,1,48.52,74,94,12
40,75,40,250,35,160,25,1,42.64,76,90,12
40,75,40,250,35,160,25,1,54.38,76,92,12
40,75,40,250,35,160,25,1,54.59,74,78,14
40,75,40,250,35,160,25,0,48.66,78,96,11
